"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
"2","2031-02-13T17:36:35.000","2031-02-13T17:45:36.000","1","1.44","1","N","236","237","2","8","1","0.5","0","0","0.3","9.8"
"2","2031-02-13T17:21:28.000","2031-02-13T17:35:36.000","1","1.69","1","N","141","236","2","8","1","0.5","0","0","0.3","9.8"
"2","2029-05-06T20:43:14.000","2029-05-06T21:03:14.000","4","4.47","1","N","162","80","1","17.5","0.5","0.5","4.91","5.76","0.3","29.47"
"2","2029-05-05T23:22:18.000","2029-05-06T02:02:00.000","1","11.51","1","N","148","244","1","34.5","0.5","0.5","0","0","0.3","35.8"
"2","2026-02-13T11:53:54.000","2026-02-13T11:58:02.000","2","0.85","1","N","161","43","2","5","1","0.5","0","0","0.3","6.8"
"2","2026-02-13T11:06:18.000","2026-02-13T18:26:09.000","2","3.14","1","N","163","246","2","20","1","0.5","0","0","0.3","21.8"
"2","2021-09-13T12:19:52.000","2021-09-13T12:22:07.000","1","0.00","1","N","193","193","2","0","0","0","0","0","0","0"
"2","2020-12-10T20:34:26.000","2020-12-10T20:54:46.000","1","4.62","1","N","50","231","2","17.5","0.5","0.5","0","0","0.3","18.8"
"2","2020-12-10T20:23:43.000","2020-12-10T20:32:35.000","1","2.44","1","N","90","50","1","9","0.5","0.5","2.06","0","0.3","12.36"
"2","2020-08-01T00:20:58.000","2020-08-01T00:47:09.000","1","16.71","1","N","143","138","1","45.5","0","0.5","10.41","5.76","0.3","62.47"
"2","2020-08-01T00:07:04.000","2020-08-01T00:20:28.000","1","2.30","1","N","238","143","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:44:16.000","2020-03-06T15:14:32.000","1","2.39","1","N","125","161","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:44:16.000","2020-03-06T15:14:32.000","1","2.39","1","N","125","161","2","11","0","0.5","0","0","0.3","11.8"
"2","2020-03-05T18:33:57.000","2020-03-05T18:40:39.000","1","1.04","1","N","231","125","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T18:33:57.000","2020-03-05T18:40:39.000","1","1.04","1","N","231","125","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T18:13:12.000","2020-03-05T18:21:27.000","1","1.26","1","N","79","45","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2020-03-05T18:13:12.000","2020-03-05T18:21:27.000","1","1.26","1","N","79","45","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2020-03-05T18:06:06.000","2020-03-05T18:11:37.000","1","0.90","1","N","234","79","1","5.5","0","0.5","1.26","0","0.3","7.56"
"2","2020-03-05T18:06:06.000","2020-03-05T18:11:37.000","1","0.90","1","N","234","79","1","5.5","0","0.5","1.26","0","0.3","7.56"
"2","2020-03-05T18:01:50.000","2020-03-05T18:05:26.000","1","0.49","1","N","90","234","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2020-03-05T18:01:50.000","2020-03-05T18:05:26.000","1","0.49","1","N","90","234","2","4.5","0","0.5","0","0","0.3","5.3"
"2","2020-03-05T17:34:30.000","2020-03-05T17:40:27.000","1","1.13","1","N","238","143","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2020-03-05T17:34:30.000","2020-03-05T17:40:27.000","1","1.13","1","N","238","143","1","6.5","0","0.5","1.46","0","0.3","8.76"
"2","2019-11-21T04:51:09.000","2019-11-21T04:54:11.000","1","0.00","5","N","264","264","2","96","0","0","0","0","0.3","96.3"
"2","2019-11-21T03:48:17.000","2019-11-21T03:55:07.000","5","1.60","1","N","264","264","1","7.5","0.5","0.5","1.76","0","0.3","10.56"
"2","2019-11-21T03:32:56.000","2019-11-21T03:36:02.000","5","0.78","1","N","264","264","1","4.5","0.5","0.5","0","0","0.3","5.8"
"2","2019-11-21T02:58:53.000","2019-11-21T03:05:19.000","5","1.13","1","N","264","264","1","6.5","0.5","0.5","0","0","0.3","7.8"
"2","2019-11-21T01:53:19.000","2019-11-21T02:18:39.000","5","9.44","1","N","264","264","2","31","0.5","0.5","0","0","0.3","32.3"
"2","2019-11-20T22:10:22.000","2019-11-20T22:28:11.000","5","4.32","1","N","264","264","1","16","0.5","0.5","1.7","0","0.3","19"
"2","2019-09-09T11:33:53.000","2019-09-09T15:10:50.000","1","1.10","1","N","162","141","1","8","0","0.5","1.2","0","0.3","10"
"2","2019-09-09T11:33:53.000","2019-09-09T15:10:50.000","1","1.10","1","N","162","141","1","8","0","0.5","1.2","0","0.3","10"
"2","2019-09-09T11:07:13.000","2019-09-09T11:26:59.000","1","2.30","1","N","43","170","2","13.5","0","0.5","0","0","0.3","14.3"
"2","2019-09-09T11:07:13.000","2019-09-09T11:26:59.000","1","2.30","1","N","43","170","2","13.5","0","0.5","0","0","0.3","14.3"
"2","2019-09-09T10:42:03.000","2019-09-09T10:53:56.000","1","1.96","1","N","237","236","1","9.5","0","0.5","2.06","0","0.3","12.36"
"2","2019-09-09T10:42:03.000","2019-09-09T10:53:56.000","1","1.96","1","N","237","236","1","9.5","0","0.5","2.06","0","0.3","12.36"
"2","2019-09-09T10:19:44.000","2019-09-09T10:31:26.000","1","0.93","1","N","162","170","1","8.5","0","0.5","1","0","0.3","10.3"
"2","2019-09-09T10:19:44.000","2019-09-09T10:31:26.000","1","0.93","1","N","162","170","1","8.5","0","0.5","1","0","0.3","10.3"
"2","2019-09-09T09:44:31.000","2019-09-09T09:50:15.000","1","0.94","1","N","211","113","2","5.5","0","0.5","0","0","0.3","6.3"
"2","2019-09-09T09:44:31.000","2019-09-09T09:50:15.000","1","0.94","1","N","211","113","2","5.5","0","0.5","0","0","0.3","6.3"
"2","2019-06-28T19:07:53.000","2019-06-28T19:38:18.000","1","6.20","1","N","79","61","2","24","0.5","0.5","0","0","0.3","25.3"
"2","2019-06-28T18:48:49.000","2019-06-28T19:02:17.000","1","1.67","1","N","114","224","2","9.5","0.5","0.5","0","0","0.3","10.8"
"2","2019-06-28T18:31:15.000","2019-06-28T18:36:37.000","1","1.17","1","N","125","68","2","6","0.5","0.5","0","0","0.3","7.3"
"2","2019-06-28T18:02:30.000","2019-06-28T18:18:16.000","1","2.60","1","N","249","261","2","12","0.5","0.5","0","0","0.3","13.3"
"2","2019-06-28T17:20:53.000","2019-06-28T17:30:48.000","1","1.61","1","N","114","231","2","8.5","0.5","0.5","0","0","0.3","9.8"
"2","2019-06-28T17:06:17.000","2019-06-28T17:14:13.000","1","1.30","1","N","234","4","2","7.5","0.5","0.5","0","0","0.3","8.8"
"2","2019-06-28T16:33:22.000","2019-06-28T16:48:00.000","1","2.08","1","N","236","162","2","10.5","0.5","0.5","0","0","0.3","11.8"
"2","2019-06-28T15:51:20.000","2019-06-28T16:09:29.000","1","5.11","1","N","148","262","2","18","1","0.5","0","0","0.3","19.8"
"2","2019-06-28T14:54:47.000","2019-06-28T15:23:19.000","1","7.47","1","N","237","160","2","26.5","1","0.5","0","0","0.3","28.3"
"2","2019-06-28T14:35:53.000","2019-06-28T14:40:22.000","1","0.42","1","N","262","140","2","4.5","1","0.5","0","0","0.3","6.3"
"2","2019-06-28T14:21:03.000","2019-06-28T14:31:02.000","1","1.48","1","N","237","140","1","8","1","0.5","1.5","0","0.3","11.3"
"2","2019-06-28T13:42:27.000","2019-06-28T13:47:51.000","1","0.71","1","N","262","141","1","5.5","1","0.5","1","0","0.3","8.3"
"2","2019-06-28T13:26:09.000","2019-06-28T13:33:02.000","1","0.88","1","N","238","236","1","6.5","1","0.5","1","0","0.3","9.3"
"2","2019-06-28T13:09:08.000","2019-06-28T13:17:03.000","1","1.31","1","N","236","239","1","7.5","1","0.5","2.79","0","0.3","12.09"
"2","2019-06-28T13:00:08.000","2019-06-28T13:07:03.000","1","0.85","1","N","140","237","1","6.5","1","0.5","1","0","0.3","9.3"
"2","2019-05-10T08:16:22.000","2019-05-10T15:28:19.000","1","1.45","1","N","161","137","1","8.5","1","0.5","2.06","0","0.3","12.36"
"2","2019-05-10T07:55:57.000","2019-05-10T08:06:38.000","1","1.54","1","N","236","162","1","9","1","0.5","1.5","0","0.3","12.3"
"2","2019-05-10T07:30:30.000","2019-05-10T07:52:19.000","1","3.21","1","N","164","236","1","15.5","1","0.5","2","0","0.3","19.3"
"2","2019-05-07T01:21:01.000","2019-05-07T01:50:19.000","5","17.51","2","N","132","229","1","52","0","0.5","17.57","5.76","0.3","76.13"
"2","2019-05-05T01:32:40.000","2019-05-05T01:39:56.000","2","1.25","1","N","114","79","1","6.5","0.5","0.5","1.95","0","0.3","9.75"
"2","2019-05-05T01:10:26.000","2019-05-05T01:23:21.000","2","2.38","1","N","87","234","2","10.5","0.5","0.5","0","0","0.3","11.8"
"2","2019-04-28T17:07:42.000","2019-04-28T17:10:45.000","1","0.62","1","N","229","162","1","4.5","0.5","0.5","1.45","0","0.3","7.25"
"2","2019-04-19T00:05:57.000","2019-04-19T00:09:35.000","1","0.34","1","N","237","237","2","4","1","0.5","0","0","0.3","5.8"
"2","2019-04-13T17:53:44.000","2019-04-14T00:59:01.000","2","1.29","1","N","13","87","1","6","1","0.5","1.56","0","0.3","9.36"
"2","2019-04-13T17:34:44.000","2019-04-13T17:43:55.000","2","1.63","1","N","249","261","1","8","1","0.5","2.45","0","0.3","12.25"
"2","2019-04-13T17:14:27.000","2019-04-13T17:30:21.000","2","1.90","1","N","137","249","2","11","1","0.5","0","0","0.3","12.8"
"2","2019-04-13T17:05:15.000","2019-04-13T17:13:32.000","2","1.37","1","N","233","137","1","7.5","1","0.5","1.25","0","0.3","10.55"
"2","2019-04-07T09:49:57.000","2019-04-07T10:01:03.000","1","1.60","1","N","170","229","2","9","0.5","0.5","0","0","0.3","10.3"
"2","2019-04-07T09:37:57.000","2019-04-07T09:46:04.000","1","1.57","1","N","230","234","1","7.5","0.5","0.5","1.76","0","0.3","10.56"
"2","2019-04-07T09:29:33.000","2019-04-07T09:35:22.000","1","1.08","1","N","246","230","1","6","0.5","0.5","1.82","0","0.3","9.12"
"2","2019-04-07T09:14:15.000","2019-04-07T09:24:03.000","1","1.41","1","N","142","50","2","8","0.5","0.5","0","0","0.3","9.3"
"2","2019-03-25T09:37:07.000","2019-03-25T17:06:31.000","5","13.24","1","N","70","62","1","38","0.5","0.5","7.86","0","0.3","47.16"
"2","2019-03-24T12:02:19.000","2019-03-24T12:51:00.000","1","28.12","2","N","13","132","1","52","0","0.5","10","5.76","0.3","68.56"
"2","2019-03-23T09:36:59.000","2019-03-23T16:58:33.000","2","8.86","1","N","138","233","1","26.5","1","0.5","6.81","5.76","0.3","40.87"
"2","2019-03-21T16:24:52.000","2019-03-21T16:47:01.000","5","4.49","1","N","236","113","1","18","0.5","0.5","3.86","0","0.3","23.16"
"2","2019-03-21T16:10:59.000","2019-03-21T16:19:22.000","5","1.95","1","N","236","75","2","8.5","0.5","0.5","0","0","0.3","9.8"
"2","2019-03-17T01:38:09.000","2019-03-17T02:00:03.000","1","4.24","1","N","170","238","1","17.5","0.5","0.5","4.7","0","0.3","23.5"
"2","2019-03-17T01:26:07.000","2019-03-17T01:30:28.000","1","0.70","1","N","113","234","2","5","0.5","0.5","0","0","0.3","6.3"
"2","2019-03-17T01:13:50.000","2019-03-17T01:19:25.000","1","1.22","1","N","113","249","1","6","0.5","0.5","1.46","0","0.3","8.76"
"2","2019-03-17T01:04:30.000","2019-03-17T01:10:43.000","1","1.23","1","N","231","113","1","6.5","1","0.5","1.24","0","0.3","9.54"
"2","2019-03-13T06:50:11.000","2019-03-13T06:55:53.000","1","1.02","1","N","43","238","1","6","0","0.5","1.36","0","0.3","8.16"
"2","2019-03-12T23:36:56.000","2019-03-13T07:16:34.000","1","5.27","1","N","100","7","2","26.5","0","0.5","0","0","0.3","27.3"
"2","2019-03-12T23:28:13.000","2019-03-12T23:34:55.000","1","0.86","1","N","234","164","1","6","0","0.5","1.7","0","0.3","8.5"
"2","2019-03-12T23:12:48.000","2019-03-12T23:23:38.000","1","1.10","1","N","137","113","1","8.5","0","0.5","1.86","0","0.3","11.16"
"2","2019-03-07T06:25:03.000","2019-03-07T15:25:31.000","1","8.66","1","N","163","54","1","38","0","0.5","7.76","0","0.3","46.56"
"2","2019-03-04T12:35:59.000","2019-03-04T13:07:03.000","2","5.52","1","N","50","179","1","23","0","0.5","0","0","0.3","23.8"
"2","2019-03-04T00:13:56.000","2019-03-04T00:32:39.000","5","11.94","1","N","70","265","2","32.5","0","0.5","0","0","0.3","33.3"
"2","2019-03-03T03:27:20.000","2019-03-03T12:01:14.000","1","6.37","1","N","170","13","1","27","0","0.5","4.5","0","0.3","32.3"
"2","2019-03-03T03:08:07.000","2019-03-03T03:20:33.000","1","0.92","1","N","161","170","1","8.5","0","0.5","1.86","0","0.3","11.16"
"2","2019-03-02T00:21:41.000","2019-03-02T09:00:42.000","2","9.75","1","N","161","138","1","34","1","0.5","8","5.76","0.3","49.56"
"2","2019-03-01T01:07:25.000","2019-03-01T09:45:50.000","2","14.54","1","N","100","51","1","43.5","0.5","0.5","0","0","0.3","44.8"
"2","2019-02-28T07:41:58.000","2019-02-28T07:55:33.000","5","4.33","1","N","186","238","2","15","1","0.5","0","0","0.3","16.8"
"2","2019-02-28T07:03:51.000","2019-02-28T07:13:14.000","5","1.75","1","N","230","68","2","8","1","0.5","0","0","0.3","9.8"
"2","2019-02-25T07:15:01.000","2019-02-25T07:22:26.000","2","1.48","1","N","42","116","2","7.5","0.5","0.5","0","0","0.3","8.8"
"2","2019-02-24T05:57:25.000","2019-02-24T14:11:37.000","1","2.21","1","N","137","163","1","10.5","0.5","0.5","2.36","0","0.3","14.16"
"2","2019-02-24T05:27:39.000","2019-02-24T05:31:59.000","1","0.36","1","N","234","137","1","4.5","0.5","0.5","1.16","0","0.3","6.96"
"2","2019-02-23T16:48:38.000","2019-02-23T17:01:14.000","1","2.04","1","N","107","231","1","10","1","0.5","2.95","0","0.3","14.75"
"2","2019-02-23T16:38:23.000","2019-02-23T16:46:14.000","1","0.91","1","N","100","234","2","6.5","1","0.5","0","0","0.3","8.3"
"2","2019-02-23T16:27:08.000","2019-02-23T16:31:56.000","1","0.78","1","N","48","68","1","5.5","1","0.5","1.46","0","0.3","8.76"
"2","2019-02-23T16:13:35.000","2019-02-23T16:19:34.000","1","0.86","1","N","48","246","1","6","1","0.5","0","0","0.3","7.8"
"2","2019-02-19T22:24:28.000","2019-02-20T06:41:29.000","1","1.99","1","N","161","142","2","12","0","0.5","0","0","0.3","12.8"
"2","2019-02-19T21:55:07.000","2019-02-19T22:05:07.000","1","1.17","1","N","161","186","1","8","0","0.5","2.2","0","0.3","11"
"2","2019-02-19T16:32:12.000","2019-02-19T16:35:28.000","2","0.63","1","N","238","239","1","4.5","0","0.5","1.06","0","0.3","6.36"
"2","2019-02-19T16:25:54.000","2019-02-19T16:29:27.000","2","0.62","1","N","238","238","1","4.5","0","0.5","1.06","0","0.3","6.36"
"2","2019-02-19T14:54:33.000","2019-02-19T23:08:12.000","1","1.39","1","N","229","170","2","9.5","0","0.5","0","0","0.3","10.3"
"2","2019-02-13T23:06:39.000","2019-02-13T23:13:37.000","1","0.74","1","N","142","142","1","6","0","0.5","1.36","0","0.3","8.16"
"2","2019-02-13T22:50:16.000","2019-02-13T23:02:23.000","1","0.73","1","N","142","142","1","8.5","0","0.5","1.86","0","0.3","11.16"
"2","2019-02-13T22:34:52.000","2019-02-13T22:48:04.000","1","1.14","1","N","162","142","2","9.5","0","0.5","0","0","0.3","10.3"
"2","2019-02-13T06:20:00.000","2019-02-13T06:29:04.000","6","1.52","1","N","186","137","1","8","0.5","0.5","1.86","0","0.3","11.16"
"2","2019-02-11T04:39:43.000","2019-02-11T05:00:11.000","2","8.32","1","N","13","236","1","25.5","0","0.5","2","0","0.3","30.25"
"2","2019-02-10T11:36:02.000","2019-02-10T11:47:02.000","1","2.33","1","N","107","232","2","10","0","0.5","0","0","0.3","10.8"
"2","2019-02-09T19:40:19.000","2019-02-09T19:47:29.000","1","0.75","1","N","161","163","1","6","0","0.5","1.36","0","0.3","8.16"
"2","2019-02-09T19:33:55.000","2019-02-09T19:38:54.000","1","0.80","1","N","164","161","1","5.5","0","0.5","1.26","0","0.3","7.56"
"2","2019-02-08T17:35:27.000","2019-02-09T00:53:56.000","5","2.61","1","N","70","129","2","12","1","0.5","0","0","0.3","13.8"
"2","2019-02-08T16:09:17.000","2019-02-08T16:19:28.000","1","1.65","1","N","211","90","2","9","1","0.5","0","0","0.3","10.8"
"2","2019-02-06T23:34:30.000","2019-02-06T23:55:43.000","5","1.95","1","N","161","48","1","14","1","0.5","3.16","0","0.3","18.96"
"2","2019-02-06T23:13:25.000","2019-02-06T23:19:19.000","5","0.76","1","N","48","170","1","6","1","0.5","1.56","0","0.3","9.36"
"2","2019-02-06T23:01:28.000","2019-02-06T23:11:35.000","5","0.78","1","N","164","230","1","7.5","1","0.5","2.32","0","0.3","11.62"
"2","2019-02-03T23:33:42.000","2019-02-04T07:09:55.000","2","18.13","2","N","132","42","1","52","0","0.5","11.71","5.76","0.3","70.27"
"2","2019-02-02T21:52:47.000","2019-02-03T05:12:52.000","1","2.18","1","N","140","164","1","13.5","0.5","0.5","1","0","0.3","15.8"
"2","2019-02-02T21:16:07.000","2019-02-02T21:32:46.000","1","1.60","1","N","140","162","2","11.5","0.5","0.5","0","0","0.3","12.8"
"2","2019-02-02T08:51:51.000","2019-02-02T08:58:07.000","1","1.62","1","N","246","143","1","7","1","0.5","1","0","0.3","9.8"
"2","2019-01-31T14:44:28.000","2019-01-31T15:01:28.000","1","5.88","1","N","90","146","1","18.5","0.5","0.5","0","0","0.3","19.8"
"2","2019-01-29T14:13:01.000","2019-01-29T14:21:47.000","1","0.82","1","N","211","144","1","7","0","0.5","1.56","0","0.3","9.36"
"2","2019-01-29T13:55:44.000","2019-01-29T14:08:49.000","1","1.69","1","N","79","211","1","9.5","0","0.5","3.09","0","0.3","13.39"
"2","2019-01-29T09:10:23.000","2019-01-29T09:16:47.000","2","1.81","1","N","43","151","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2019-01-29T08:35:47.000","2019-01-29T09:05:34.000","2","2.04","1","N","74","41","2","18","0","0.5","0","0","0.3","18.8"
"2","2019-01-29T08:23:12.000","2019-01-29T08:32:44.000","2","2.18","1","N","141","74","2","9.5","0","0.5","0","0","0.3","10.3"
"2","2019-01-29T06:57:55.000","2019-01-29T14:21:19.000","1","2.61","1","N","239","162","2","15","0","0.5","0","0","0.3","15.8"
"2","2019-01-29T06:29:17.000","2019-01-29T06:45:31.000","1","1.45","1","N","163","50","1","11","0","0.5","2","0","0.3","13.8"
"2","2019-01-29T06:08:21.000","2019-01-29T06:28:14.000","1","1.53","1","N","143","237","1","12.5","0","0.5","3.99","0","0.3","17.29"
"2","2019-01-26T03:16:01.000","2019-01-26T03:32:02.000","1","0.80","1","N","230","186","1","10.5","0.5","0.5","2.36","0","0.3","14.16"
"2","2019-01-26T03:02:46.000","2019-01-26T03:14:38.000","1","1.73","1","N","237","230","2","9.5","0.5","0.5","0","0","0.3","10.8"
"2","2019-01-23T15:11:02.000","2019-01-23T22:30:05.000","1","1.09","1","N","237","162","1","11.5","0","0.5","2.46","0","0.3","14.76"
"2","2019-01-23T14:30:45.000","2019-01-23T15:09:58.000","1","3.75","1","N","249","237","1","23.5","0","0.5","6.08","0","0.3","30.38"
"2","2019-01-22T22:45:42.000","2019-01-23T06:07:36.000","1","5.64","1","N","239","231","2","19.5","0.5","0.5","0","0","0.3","20.8"
"2","2019-01-22T22:25:16.000","2019-01-22T22:36:07.000","6","3.61","1","N","48","24","1","12.5","0.5","0.5","2.76","0","0.3","16.56"
"2","2019-01-22T22:16:11.000","2019-01-22T22:19:14.000","6","0.59","1","N","234","164","2","4.5","0.5","0.5","0","0","0.3","5.8"
"2","2019-01-22T22:02:13.000","2019-01-22T22:13:30.000","6","2.56","1","N","141","234","1","10.5","0.5","0.5","2.36","0","0.3","14.16"
"2","2019-01-22T12:02:33.000","2019-01-22T12:08:29.000","1","0.72","1","N","4","148","1","5.5","0","0.5","1.13","0","0.3","9.38"
"2","2019-01-20T20:44:16.000","2019-01-20T20:53:07.000","2","1.24","1","N","114","79","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2019-01-20T08:44:46.000","2019-01-20T16:04:10.000","5","8.82","1","N","138","141","1","26","0","0.5","8.14","5.76","0.3","40.7"
"2","2019-01-19T11:46:53.000","2019-01-19T19:18:23.000","1","1.73","1","N","186","162","2","18","0","0.5","0","0","0.3","18.8"
"2","2019-01-19T11:13:20.000","2019-01-19T11:33:18.000","1","1.29","1","N","162","100","1","12.5","0","0.5","2.66","0","0.3","15.96"
"2","2019-01-19T08:40:03.000","2019-01-19T15:55:11.000","1","1.90","1","N","237","239","1","10.5","0","0.5","1.2","0","0.3","12.5"
"2","2019-01-19T08:10:24.000","2019-01-19T08:16:52.000","1","0.76","1","N","163","142","1","6","0","0.5","1.36","0","0.3","8.16"
"2","2019-01-19T07:58:42.000","2019-01-19T08:08:37.000","1","0.99","1","N","142","163","1","7.5","0","0.5","1.66","0","0.3","9.96"
"2","2019-01-19T07:51:46.000","2019-01-19T07:56:40.000","1","0.69","1","N","237","142","1","5.5","0","0.5","0","0","0.3","6.3"
"2","2019-01-18T09:07:09.000","2019-01-18T09:32:00.000","5","8.21","1","N","138","263","1","26.5","1","0.5","8.52","5.76","0.3","42.58"
"2","2019-01-18T08:20:01.000","2019-01-18T15:55:31.000","1","6.06","1","N","237","231","1","25.5","0","0.5","5.26","0","0.3","31.56"
"2","2019-01-18T08:08:37.000","2019-01-18T08:18:19.000","1","1.66","1","N","142","237","1","8.5","0","0.5","2.32","0","0.3","11.62"
"2","2019-01-16T15:05:00.000","2019-01-16T15:59:50.000","5","16.78","2","N","132","164","1","52","4.5","0.5","11","5.76","0.3","74.06"
"2","2019-01-13T15:25:51.000","2019-01-13T15:40:05.000","2","3.47","1","N","162","7","1","12.5","0.5","0.5","2.76","0","0.3","16.56"
"2","2019-01-13T15:01:15.000","2019-01-13T15:08:10.000","2","1.05","1","N","114","107","1","6.5","0.5","0.5","1","0","0.3","8.8"
"2","2019-01-12T13:49:57.000","2019-01-12T13:54:07.000","1","0.79","1","N","262","236","2","5","0.5","0.5","0","0","0.3","6.3"
"2","2019-01-12T13:36:49.000","2019-01-12T13:44:45.000","1","1.35","1","N","236","262","2","7.5","0.5","0.5","0","0","0.3","8.8"
"2","2019-01-12T13:26:28.000","2019-01-12T13:33:36.000","1","1.32","1","N","140","237","1","7","0.5","0.5","1.66","0","0.3","9.96"
"2","2019-01-12T00:32:19.000","2019-01-12T08:14:24.000","1","11.62","1","N","236","200","1","37.5","1","0.5","10.48","2.64","0.3","52.42"
"2","2019-01-10T07:11:34.000","2019-01-10T14:30:48.000","1","5.15","1","N","48","13","2","18","0.5","0.5","0","0","0.3","19.3"
"2","2019-01-10T06:22:07.000","2019-01-10T06:29:06.000","1","2.00","1","N","162","236","1","8.5","0.5","0.5","2.45","0","0.3","12.25"
"2","2019-01-08T06:24:07.000","2019-01-08T13:53:33.000","1","2.52","1","N","246","79","2","18.5","0","0.5","0","0","0.3","19.3"
"2","2019-01-08T06:04:05.000","2019-01-08T06:22:20.000","1","2.26","1","N","142","246","1","13.5","0","0.5","2.86","0","0.3","17.16"
"2","2019-01-08T05:34:33.000","2019-01-08T05:42:35.000","1","1.01","1","N","100","50","1","7","0","0.5","1.56","0","0.3","9.36"
"2","2019-01-08T00:57:26.000","2019-01-08T01:18:15.000","2","2.84","1","N","186","141","1","14.5","0","0.5","3.06","0","0.3","18.36"
"2","2019-01-08T00:38:28.000","2019-01-08T00:54:37.000","2","2.07","1","N","229","186","2","12","0","0.5","0","0","0.3","12.8"
"2","2019-01-08T00:27:41.000","2019-01-08T00:37:27.000","2","1.43","1","N","263","229","2","8.5","0","0.5","0","0","0.3","9.3"
"2","2019-01-07T22:46:09.000","2019-01-08T06:05:23.000","1","1.76","1","N","186","143","1","12.5","0","0.5","2.66","0","0.3","15.96"
